,game_id,notes_headline,away_short_display_name,home_short_display_name,away_color,home_color
0,401408636,Men's Basketball Championship - National Championship,North Carolina,Kansas,99bfe5,0022B4
1,401408635,Men's Basketball Championship - Final Four,North Carolina,Duke,99bfe5,001A57
2,401408634,Men's Basketball Championship - Final Four,Villanova,Kansas,123d7C,0022B4
3,401408633,Men's Basketball Championship - East Region - Elite 8,Saint Peter's,North Carolina,004CC2,99bfe5
4,401408632,Men's Basketball Championship - Midwest Region - Elite 8,Miami,Kansas,004325,0022B4
5,401408631,Men's Basketball Championship - West Region - Elite 8,Arkansas,Duke,9c1831,001A57
6,401408630,Men's Basketball Championship - South Region - Elite 8,Houston,Villanova,C90822,123d7C
7,401408626,Men's Basketball Championship - Midwest Region - Sweet 16,Iowa State,Miami,660015,004325
8,401408629,Men's Basketball Championship - East Region - Sweet 16,North Carolina,UCLA,99bfe5,005C8E
9,401408627,Men's Basketball Championship - Midwest Region - Sweet 16,Providence,Kansas,000000,0022B4
10,401408628,Men's Basketball Championship - East Region - Sweet 16,Saint Peter's,Purdue,004CC2,B89D29
11,401408622,Men's Basketball Championship - South Region - Sweet 16,Houston,Arizona,C90822,002449
12,401408624,Men's Basketball Championship - West Region - Sweet 16,Texas Tech,Duke,C80025,001A57
13,401408623,Men's Basketball Championship - South Region - Sweet 16,Michigan,Villanova,00274c,123d7C
14,401408625,Men's Basketball Championship - West Region - Sweet 16,Arkansas,Gonzaga,9c1831,002967
15,401408621,Men's Basketball Championship - South Region - 2nd Round,TCU,Arizona,3C377D,002449
16,401408616,Men's Basketball Championship - East Region - 2nd Round,Texas,Purdue,EE7524,B89D29
17,401408615,Men's Basketball Championship - Midwest Region - 2nd Round,Miami,Auburn,004325,03244d
18,401408620,Men's Basketball Championship - West Region - 2nd Round,Notre Dame,Texas Tech,00122b,C80025
19,401408617,Men's Basketball Championship - Midwest Region - 2nd Round,Iowa State,Wisconsin,660015,A00002
20,401408614,Men's Basketball Championship - West Region - 2nd Round,Michigan St,Duke,18453B,001A57
21,401408619,Men's Basketball Championship - South Region - 2nd Round,Ohio State,Villanova,de3129,123d7C
22,401408618,Men's Basketball Championship - South Region - 2nd Round,Houston,Illinois,C90822,f77329
23,401408613,Men's Basketball Championship - West Region - 2nd Round,Memphis,Gonzaga,003087,002967
24,401408606,Men's Basketball Championship - West Region - 2nd Round,New Mexico St,Arkansas,891216,9c1831
25,401408609,Men's Basketball Championship - East Region - 2nd Round,Saint Peter's,Murray St,004CC2,002148
26,401408612,Men's Basketball Championship - East Region - 2nd Round,Saint Mary's,UCLA,003768,005C8E
27,401408607,Men's Basketball Championship - Midwest Region - 2nd Round,Richmond,Providence,9e0712,000000
28,401408608,Men's Basketball Championship - South Region - 2nd Round,Michigan,Tennessee,00274c,EE9627
29,401408611,Men's Basketball Championship - Midwest Region - 2nd Round,Creighton,Kansas,13299e,0022B4
30,401408610,Men's Basketball Championship - East Region - 2nd Round,North Carolina,Baylor,99bfe5,004834
31,401408594,Men's Basketball Championship - Midwest Region - 1st Round,Colgate,Wisconsin,8B011D,A00002
32,401408603,Men's Basketball Championship - South Region - 1st Round,TCU,Seton Hall,3C377D,0857B1
33,401408601,Men's Basketball Championship - South Region - 1st Round,UAB,Houston,054338,C90822
34,401408593,Men's Basketball Championship - West Region - 1st Round,Davidson,Michigan St,000000,18453B
35,401408597,Men's Basketball Championship - Midwest Region - 1st Round,Iowa State,LSU,660015,fdd023
36,401408604,Men's Basketball Championship - South Region - 1st Round,Wright St,Arizona,cba052,002449
37,401408592,Men's Basketball Championship - West Region - 1st Round,Fullerton,Duke,003767,001A57
